No.,Compound ID,SMILES,Assay ID,LogP app
1,CHEMBL121893,"[NH+]1(CCCCC1)CCC(=O)c1ccc(OCCCCCC)cc1	
",CHEMBL1034536,-2.67
2,CHEMBL538150,"C(=O)(c1cc2c(cc(OCCCCCC)cc2)cc1)CC[NH+](C)C	
",CHEMBL1034536,-2.85
3,CHEMBL539139,"C(=O)(c1ccc(OCCOCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.8
4,CHEMBL539393,"C(=O)(c1cc(C)c(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-2.91
5,CHEMBL539718,"C(=O)(c1c(Cl)cc(SCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.22
6,CHEMBL540227,"C(=O)(c1ccc(OCCCCCC)cc1)CCNc1cc(Cl)ccc1	
",CHEMBL1034536,-5.7
7,CHEMBL540471,"C(=O)(c1c(Cl)cc(OCCCCCC)c(Cl)c1)CC[NH+]1CCOCC1	
",CHEMBL1034536,-2.75
8,CHEMBL541478,"N1C(=O)C[N@H+](CCC(=O)c2c(C)cc(S(=O)(=O)CCCCCC)cc2C)CC1	
",CHEMBL1034536,-3.32
9,CHEMBL541481,"C(=O)(c1c(Cl)cc(SCCCCCC)cc1)CC[NH+]1CCOCC1	
",CHEMBL1034536,-2.69
10,CHEMBL549482,"C(=O)(c1cc(C)c(OCCCCCC)c(C)c1)CC[NH+](C)C	
",CHEMBL1034536,-3.14
11,CHEMBL549483,"C(=O)(c1c(C)cc(OCCCCCC)cc1C)CC[NH+](C)C	
",CHEMBL1034536,-3.19
12,CHEMBL549557,"C(=O)(c1cc(S(=O)(=O)C)c(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.14
13,CHEMBL549561,"C(=O)(c1c(C)cc(S(=O)(=O)CCCCCC)cc1C)CC[NH+]1CCN(S(=O)(=O)CC)CC1	
",CHEMBL1034536,-3
14,CHEMBL549562,"C(=O)(c1c(Cl)c(Cl)c(S(=O)(=O)CCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.66
15,CHEMBL549685,"C(=O)(c1cc(Cc2ccccc2)c(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.64
16,CHEMBL549889,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)cc1Cl)CC[NH+]1CCN(C(=O)C)CC1	
",CHEMBL1034536,-3.32
17,CHEMBL550090,"C(=O)(c1c(C)cc(S(=O)(=O)CCCCCC)cc1C)CC[NH+]1CCOCC1	
",CHEMBL1034536,-2.94
18,CHEMBL550094,"C1[C](C[NH+](C)C)C(=O)c2ccc(OCCCCCC)cc2O1	
",CHEMBL1034536,-3.16
19,CHEMBL550295,"N1C(=O)C[N@H+](CCC(=O)c2c(Cl)c(Cl)c(S(=O)(=O)CCCCCC)cc2)CC1	
",CHEMBL1034536,-2.96
20,CHEMBL550497,"C(=O)(c1c(Cl)c(Cl)c(OCCCCCC)cc1)CC[NH+]1CCOCC1	
",CHEMBL1034536,-3.03
21,CHEMBL550752,"C(=O)(c1c(Cl)cc(SCCCCCC)cc1Cl)CC[NH+]1CCN(C(=O)C)CC1	
",CHEMBL1034536,-2.98
22,CHEMBL550758,"C(=O)(c1c(Cl)cc(OCCCCCC)cc1Cl)CC[NH+](C)C	
",CHEMBL1034536,-3.16
23,CHEMBL550760,"C(=O)(c1c(C)cc(SCCCCCC)cc1C)CC[NH+]1CCN(S(=O)(=O)CC)CC1	
",CHEMBL1034536,-3.8
24,CHEMBL550761,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.42
25,CHEMBL550765,"C(=O)(c1ccc(OCCCCCC)cc1)[C](C[NH+](C)C)[C](C)C	
",CHEMBL1034536,-2.9
26,CHEMBL550766,"C(=O)(c1ccc(OCCCCCC)cc1)[C](c1ccccc1)C[NH+](C)C	
",CHEMBL1034536,-3.04
